,local,name,address,number
0,울산광역시,동구서부점,울산광역시 동구 명덕3길 6 (서부동),052-232-6625
1,경상남도,양주대동상가점,"경상남도 양산시 양주로 156, 123동 1층 106호(중부동,대동황토방아파트)",055-382-2662
2,부산광역시,전포동성점,부산광역시 부산진구 동성로 30길 4,051-804-2003
3,경상남도,물금가촌점,"양산시 물금읍 물금로 57, 상가2동 1층 109호(양산 이지더원 5차 아파트)",055-385-9982
4,부산광역시,서원시장점,부산광역시 동래구 동래로 137-14(복천동),051-743-0433
5,서울특별시,난곡점,서울특별시 관악구 난우길 47,02-6952-9990
6,경기도,풍덕천점,경기도 용인시 수지구 풍덕천로160번길 5-1,031-262-9995
7,경기도,월피점,경기 안산시 상록구 광덕산2로 18,031-411-5799
8,경기도,동탄목동점,경기도 화성시 동탄순환대로20길 70,031-8077-9696
9,경기도,국수점,경기 양평군 양서면 경강로 1015,031-774-9288
10,강원도,김화점,강원도 철원군 김화읍 김화로 635,033-458-5572
11,경기도,주엽점,경기 고양시 일산서구 강선로 33,031-921-7292
12,경기도,식사점,경기 고양시 일산동구 위시티4로 80,031-963-8787
13,경기도,지금점,경기 남양주시 다산지금로 124-82,031-553-2597
14,경기도,행신장미점,경기 고양시 덕양구 행신로143번길 123,031-971-7779
15,경기도,운정2호점,경기 파주시 산내로104번길 14-8,031-941-9233
16,부산광역시,복천점,부산광역시 동래구 동래로 137-14(복천동),051-743-0433
17,경기도,덕소점,경기 남양주시 와부읍 덕소로 177,031-577-9977
18,경기도,고색점,경기도 수원시 권선구 매송고색로 691번길 6(고색동),031-292-8777
19,대구광역시,수성점,"대구광역시 수성구 수성로53길 20, 1층",053-768-5222
20,부산광역시,민락수변공원점,"부산광역시 수영구 광안해변로326번길 32, 1층 102호 (민락동, e편한세상오션테라스3단지)",051-753-9282
21,서울특별시,상일점,서울특별시 강동구 천호대로 219번길 74,02-441-7077
22,경기도,석수점,경기도 안양시 만안구 석천로 168,031-471-2959
23,경기도,운정3호점,경기 파주시 가람로 51번길 26-30,031-941-9282
24,경기도,교문점,경기 구리시 이문안로 9-1,031-566-9812
25,경상남도,밀양무안점,경상남도 밀양시 무안면 사명로 503,055-353-9929
26,경상남도,밀양구기점,경상남도 밀양시 청도면 청도로 111,055-352-9994
27,대구광역시,송현점,대구광역시 달서구 송현로 103,053-631-2338
28,대구광역시,세천점,대구광역시 달성군 다사읍 세천로10길 15-7,053-584-9995
29,경상북도,하양점,"경상북도 경산시 하양읍 문화로 12,2층",053-851-7599
30,경기도,광명1호점,경기도 광명시 오리로 1023,02-2688-7272
31,인천광역시,십정점,인천광역시 부평구 배곶로 77,032-422-7548
32,경상남도,범어신도시점,"경상남도 양산시 물금읍 범구1길 21, 2층 201호",055-386-7717
33,서울특별시,흑석점,서울특별시 동작구 현충로52,02-824-9001
34,인천광역시,호구포역점,인천광역시 남동구 논현로 40,032-429-9288
35,강원도,서석점,강원도 홍천군 서석면 구룡령로 2532,033-433-4437
36,울산광역시,삼산본동점,울산광역시 남구 남중로 76 (삼산동),052-227-9246
37,서울특별시,하계점,"서울시 노원구 공릉로58길 176, 상가동 101호(하계동, 우방아파트)",02-948-4500
38,서울특별시,구의광장점,"서울시 광진구 광나루로 545, 상강 제A동 1층 2호",02-444-9238
39,서울특별시,제기점,서울시 동대문구 고산자로 56길 20,02-960-7270
40,서울특별시,중화점,서울시 중랑구 봉화산로 102,02-437-9599
41,서울특별시,독립문점,서울시 종로구 사직로 11,02-730-2690
42,서울특별시,광운대점,서울시 성북구 장위로 49길 1-1(장위동),02-913-1292
43,서울특별시,녹번점,서울시 은평구 통일로 649(녹번동),02-356-7174
44,경기도,양곡점,경기도 김포시 양촌읍 양곡2로30번길 7-23,031-8049-7122
45,경기도,고덕1호점,경기도 평택시 고덕면 고덕여염 11길 114,031-665-9285
46,서울특별시,삼양점,서울특별시 강북구 삼양로54길 7,02-986-6337
47,대구광역시,동서변점,대구광역시 북구 환성정길7,053-285-4005
48,경상북도,화진점,경상북도 포항시 북구 송라면 동해대로3218번길 35,054-256-8383
49,경상북도,울릉도점,경상북도 울릉군 울릉읍 울릉순환로 212-21,054-791-6569
50,부산광역시,하단가락타운점,"부산광역시 사하구 동매로 35, 1층(하단동)",051-206-6108
51,경기도,산본역점,경기도 군포시 산본동 1142-6,031-391-5055
52,경상남도,상남점,경상남도 창원시 성산구 상남로 107 메종드테라스,055-262-0426
53,경상남도,미조점,경상남도 남해군 미조면 미조로236번길 25,055-867-1280
54,경상남도,칠암점,경상남도 진주시 진주대로856번길 5,055-758-0119
55,경상남도,중앙여좌점,경상남도 창원시 진해구 중원로 10,055-543-2474
56,경상남도,진주혁신도시점,경상남도 진주시 충의로 20-16,055-763-4868
57,전라남도,나주점,전라남도 나주시 나주천2길 72,061-332-9281
58,부산광역시,모라점,부산광역시 사상구 백양대로 906,051-312-9279
59,충청북도,동남지구점,충청북도 청주시 상당구 중고개로 104 309동,043-291-7773
60,부산광역시,하단가락타운점,부산광역시 사하구 동매로 35,051-206-6108
61,광주광역시,치평점,광주광역시 서구 상무대로 739,062-385-9282
62,경상남도,상주점,경상남도 남해군 상주면 남해대로 696,055-863-4743
63,경기도,관산내유점,경기 고양시 덕양구 동헌로 3번길 3,031-964-9989
64,인천광역시,구월아시아드점,인천광역시 남동구 구월동 1542-2,032-471-9282
65,경기도,동천점,경기도 용인시 수지구 수풍로 117번길 2-6,031-261-4777
66,서울특별시,가락점,서울 송파구 가락동 82-6,02-407-5050
67,인천광역시,도화점,인천광역시 미추홀구 숙골로 116,032-872-8892
68,경기도,위례역점,경기도 성남시 수정구 위례광장로 27,031-756-6888
69,광주광역시,매곡.삼각점,광주 북구 매곡로 63(매곡동),062-573-9282
70,광주광역시,염주점,광주 서구 염화로40번길 201-1,062-225-9282
71,충청북도,장락점,충북 제천시 용두천로 28가길 1 1층(장락동),043-645-0666
72,경기도,서판교점,경기 성남시 분당구 운중로 129,070-4242-5566
73,서울특별시,송파장지점,서울 송파구 새말로6길 24-33,02-407-6699
74,제주특별자치도,서귀포신시가지점,"제주도 서귀포시 서호중로 47, 지하1층",064-739-9279
75,서울특별시,오목교점,서울특별시 양천구 목동서로 291 1층 106-1호(신정동),02-2645-9982
76,경기도,팽성점,경기도 평택시 팽성읍 안정순환로 142,031-651-9939
77,서울특별시,위례중앙점,서울 송파구 장지동 896,02-400-7288
78,울산광역시,성남점,"울산광역시 중구 중앙길 118, 1층 (성남동)",052-245-7245
79,경기도,호평점,"경기 남양주시 늘을2로 96, 호평마을대주파크빌 상가 109호",031-591-9285
80,경상북도,남면점,경상북도 김천시 천동길 303-5,054-439-8809
81,경상북도,죽도점,경상북도 포항시 북구 대해로 15,054-281-5001
82,경상북도,금장현곡점,경상북도 경주시 현곡면 금장5길 34-15,054-772-9909
83,대구광역시,관음점,대구광역시 북구 칠곡중앙대로 429,053-314-7811
84,대구광역시,이곡신당점,대구광역시 달서구 선원로37길 20,053-582-9282
85,대구광역시,동성로점,대구광역시 중구 국채보상로123길 23,053-428-5010
86,경상북도,유강점,경상북도 포항시 남구 연일읍 유강길 17,054-277-5995
87,대구광역시,봉덕점,대구광역시 남구 봉덕로21길 53-3,053-471-8249
88,대구광역시,노원점,"대구광역시 북구 침산남로7길 50-21,상가동 103호",053-356-6161
89,경기도,동탄새강마을점,경기도 화성시 반송동 155-6,031-8003-9995
90,경기도,평택용이점,경기도 평택시 용이동 452-20,031-655-8919
91,울산광역시,구영점,울산광역시 울주군 범서읍 798-1 102호,052-212-9211
92,경기도,미사강변점,경기도 하남시 망월동 976-3,031-796-9997
93,충청북도,오송점,충북 청주시 흥덕구 오송읍 만수리 546,043-235-8292
94,제주특별자치도,외도하귀점,"제주 제주시 우령서로 16, 1층",064-744-3404
95,경상남도,주촌신도시점,경상남도 김해시 주촌면 선천남로 13,055-329-9990
